category,name,address,lat,lng,자치구
police,서울은평 대조 파출소,서울특별시 은평구 진흥로13길3-33 (대조동),37.6086729484427,126.924270934554,은평구
subway,구산역,서울 은평구 연서로 지하 137-1,37.6112122196295,126.917182386796,은평구
subway,구파발역,서울 은평구 진관2로 지하 15-25,37.6368417889316,126.918745426412,은평구
subway,녹번역,서울 은평구 통일로 지하 602-1,37.6007672113884,126.936154179023,은평구
subway,독바위역,서울 은평구 불광로 지하 129-1,37.6183988849915,126.932810138476,은평구
subway,디지털미디어시티역,서울 은평구 수색로 193,37.577876499679,126.900250572829,은평구
subway,불광역,서울 은평구 통일로 지하 723-1,37.6102072578868,126.92998576213,은평구
subway,새절역,서울 은평구 증산로 지하 400,37.5918270544017,126.913911983591,은평구
subway,수색역,서울 은평구 수색로 261-1,37.5808147253405,126.895659201671,은평구
subway,역촌역,서울 은평구 서오릉로 지하 63,37.6060390534435,126.922967946327,은평구
subway,연신내역,서울 은평구 통일로 지하 849,37.618962003178,126.921162124977,은평구
subway,응암역,서울 은평구 증산로 지하 477,37.5987423282207,126.915512801302,은평구
subway,증산역,서울 은평구 증산로 지하 306,37.5841954778004,126.910057587886,은평구
subway,개봉역,서울 구로구 경인로 40길 47,37.4945222528654,126.859102583368,구로구
subway,구로디지털단지역,서울 구로구 도림천로 477,37.4853149237865,126.901494378412,구로구
subway,구로역,서울 구로구 구로중앙로 174,37.5024345090279,126.881491595821,구로구
subway,구일역,서울 구로구 구일로 133,37.4963911827294,126.869920428658,구로구
subway,남구로역,서울 구로구 도림로 지하 7,37.4861618372855,126.887341021559,구로구
subway,대림역,서울 구로구 도림천로 351,37.4933105886136,126.8949461878,구로구
subway,도림천역,서울 구로구 경인로 67길 160,37.5144420510515,126.882702584468,구로구
subway,신도림역,서울 구로구 새말로 지하 117-21,37.5087701449787,126.891080501385,구로구
subway,오류동역,서울 구로구 경인로20길 13,37.4943157045741,126.844492460222,구로구
subway,온수역,서울 구로구 부일로 872,37.4924739158747,126.824038632379,구로구
subway,천왕역,서울 구로구 오리로 지하 1154,37.4868219430207,126.838713741162,구로구
bus,덕은교.은평차고지앞,,37.5895807424,126.8840903371,은평구
bus,덕은교.은평차고지앞,,37.5891989861,126.8848376007,은평구
bus,수색교,,37.585759,126.888672,은평구
bus,수색교,,37.584698,126.89018,은평구
bus,수색역앞,,37.5832230348,126.8932380184,은평구
bus,수색역앞,,37.583047,126.894103,은평구
bus,디지털미디어시티역,,37.5794195375926,126.900673276716,은평구
bus,디지털미디어시티역,,37.5788284637781,126.901399390008,은평구
bus,은평뉴타운10단지,,37.642948,126.915165,은평구
bus,은평뉴타운10단지,,37.643407,126.91373,은평구
bus,구파발역입구,,37.636164,126.917023,은평구
bus,구파발역입구,,37.637116,126.916837,은평구
bus,박석고개.신도고등학교,,37.629919,126.919374,은평구
bus,박석고개.신도고등학교,,37.6310872697,126.9190609605,은평구
bus,세명컴퓨터고등학교,,37.6242147932,126.9199734902,은평구
bus,세명컴퓨터고등학교,,37.6252825924,126.9199961366,은평구
bus,연신내역.연서시장,,37.6183598996,126.9218398322,은평구
bus,연신내역.연서시장,,37.6192580456,126.9210382474,은평구
bus,동명여고.천주교불광동성당,,37.6156029897,126.9250457359,은평구
bus,동명여고.천주교불광동성당,,37.6161853499,126.9240393187,은평구
bus,불광역3.6호선,,37.6119112959,126.9287979055,은평구
bus,불광역3.6호선,,37.6124473901,126.9281552459,은평구
bus,불광역3호선.서울혁신파크,,37.60865,126.931625,은평구
bus,불광역3호선.서울혁신파크,,37.609067,126.931067,은평구
bus,한전서대문은평.북한산푸르지오,,37.6055532703,126.9343058909,은평구
bus,한전서대문은평.북한산푸르지오,,37.606093,126.933807,은평구
bus,녹번역,,37.6018619707,126.935322042,은평구
bus,녹번역,,37.6024349118,126.9350485981,은평구
bus,신사1동주민센터,,37.5979781452954,126.911386490471,은평구
bus,불광역1번출구,,37.6100879267,126.9304602536,은평구
bus,불광역3.6호선,,37.6124835753,126.9283885506,은평구
bus,동명여고,,37.616295,126.924228,은평구
bus,연신내역,,37.6181925106,126.9221617234,은평구
bus,선일하이츠빌라,,37.62279,126.919943,은평구
bus,세명컴퓨터고등학교,,37.6257486454,126.9202811322,은평구
bus,구파발역2번출구,,37.6367680033,126.9189889746,은평구
bus,구파발역.롯데몰,,37.637248,126.918577,은평구
bus,구파발역.롯데몰,,37.637246,126.918533,은평구
bus,박석고개,,37.6262373755,126.9198715831,은평구
bus,신한은행갈현지점,,37.6238469574,126.9196883967,은평구
bus,연신내역,,37.617346,126.92256,은평구
bus,동명여고,,37.6159770824,126.9240648193,은평구
bus,불광역3.6호선,,37.612663,126.927845,은평구
bus,불광역4번출구,,37.609758,126.930336,은평구
bus,녹번역,,37.601187,126.933176,은평구
bus,은평구청,,37.6014275543,126.930407158,은평구
bus,응암지구대,,37.6013998544,126.926337939,은평구
bus,본서부병원,,37.6009,126.9238,은평구
bus,신진과학기술고교.이마트은평점,,37.5998598128,126.918510745,은평구
bus,응암역.신사오거리,,37.599036,126.914866,은평구
bus,응암역.신사오거리,,37.5987592495,126.9149894161,은평구
bus,신진과학기술고교.이마트은평점,,37.5995376513,126.9186295811,은평구
bus,본서부병원,,37.6005501772,126.9235787889,은평구
bus,응암지구대,,37.6012216354,126.9266529623,은평구
bus,은평구청,,37.601197,126.930393,은평구
bus,녹번초등학교,,37.6028391102,126.92615785,은평구
bus,역촌역.역촌오거리,,37.606957085,126.9224758463,은평구
bus,삼성타운,,37.6087032927,126.9209709958,은평구
bus,구산역1번출구.예일여고,,37.6108522823,126.918180036,은평구
bus,역촌중앙시장,,37.612813,126.914718,은평구
bus,구산사거리,,37.613613,126.912487,은평구
bus,선진운수종점,,37.614342,126.910458,은평구
bus,선정중고등학교,,37.615836,126.908392,은평구
bus,서울경찰청86.87기동대.우남아파트,,37.618049,126.906434,은평구
bus,서울경찰청86.87기동대.우남아파트,,37.6185284274,126.9058308185,은평구
bus,선정중고등학교,,37.615714,126.90808,은평구
bus,선진운수종점,,37.613895,126.910862,은평구
bus,구산사거리,,37.6132406179,126.9125387021,은평구
bus,역촌중앙시장,,37.612525,126.914677,은평구
bus,구산역2번출구.예일여고,,37.6107737973,126.9177586143,은평구
bus,하나은행역촌동지점,,37.6092676452,126.9200382135,은평구
bus,역촌역.역촌오거리,,37.6065740745,126.9224014904,은평구
bus,녹번초등학교,,37.603666166,126.9250309695,은평구
bus,응암초등학교,,37.5870793679,126.9211239608,은평구
bus,은평문화예술정보학교,,37.588893,126.918898,은평구
bus,응암오거리,,37.5907361763,126.9165521769,은평구
bus,신사초등학교,,37.5931399182,126.9135451755,은평구
bus,신사동고개사거리,,37.596033,126.909871,은평구
bus,신사동고개사거리,,37.5956071263,126.9099682771,은평구
bus,신사초등학교,,37.5933583703,126.9128484808,은평구
bus,응암오거리,,37.5907322847,126.916146787,은평구
bus,은평문화예술정보학교,,37.588822,126.918622,은평구
bus,응암초등학교,,37.587477,126.920307,은평구
bus,대림시장,,37.5878268986,126.9165435736,은평구
bus,대림시장,,37.5886847389,126.9170368506,은평구
bus,응암역.신사오거리,,37.5979358249,126.9152247795,은평구
bus,신흥시장,,37.5954014899,126.9145640351,은평구
bus,새절역,,37.5911871934,126.9134545782,은평구
bus,와산교,,37.587889553,126.9126985944,은평구
bus,증산종합시장.증산중학교입구,,37.580827,126.90615,은평구
bus,증산종합시장.증산중학교입구,,37.5805912987,126.9063881275,은평구
bus,증산역.증산동주민센터,,37.5836809982,126.909681456,은평구
bus,와산교,,37.5880943849,126.9130844852,은평구
bus,새절역.숭실고입구,,37.591681,126.913892,은평구
bus,신흥시장,,37.5954017296,126.9148958447,은평구
bus,응암역.신사오거리,,37.5981073049,126.9156062368,은평구
